scenario,seed,mean_return,daily_volatility,return_acf_1,maximum_absolute_return_acf_1_20,mean_absolute_return_acf_1_20,absolute_return_acf_1,absolute_return_acf_5,absolute_return_acf_20,absolute_return_acf_50,excess_kurtosis,volume_absolute_return_correlation,volume_acf_1,order_flow_imbalance_acf_1,order_flow_imbalance_return_correlation,mean_spread_bps,mean_depth,three_sigma_tail_fraction,mean_absolute_log_price_gap,maximum_drawdown,bubble_day_fraction,crash_day_fraction,strategy_turnover,final_wealth_gini,price_cap_hits,maximum_cash_relative_error,maximum_share_relative_error,return_skewness,leverage_correlation,learning_fitness_alignment
concentrated_wealth,20261232,0.0005348812058429822,0.01864736520309258,-0.029026750877481456,0.0988758180675435,0.03219028135199079,0.29030119946445837,0.31750491595711083,0.11833579852300528,0.04870705885390433,5.670602158856719,0.478974625665934,0.909979604112416,0.44754442513298676,0.46259796249698953,6.750446980204034,13955.313020968932,0.012,0.04675119553369785,0.3889031341526643,0.0048,0.0068,0.0,0.546486466243782,0.0,1.8965114246715198e-15,2.645802768793973e-15,0.10794199697262064,0.02518741434609462,1.0
concentrated_wealth,20261233,0.00012324808225194347,0.013596437692388904,-0.03140758663398802,0.08725867813727371,0.019998977875535222,0.08093167168782957,0.0468678945199594,-0.015053315511654852,0.0022822395068175854,0.16897874012053204,0.14960589998061388,0.8192119273538994,0.4200451614877416,0.370547975516759,6.673711108985372,13525.610337582784,0.0028,0.06609437897102248,0.3057206284421683,0.0,0.0,0.0,0.5322879161194785,0.0,2.0319765264337714e-15,1.8520619381557813e-15,-0.034611185740176985,0.06309042535856424,1.0
concentrated_wealth,20261234,0.00029445677852606985,0.01514290069312246,-0.04252499954856943,0.08340399177318743,0.02347091958140978,0.11968946594674704,0.09588487387388683,0.0439945356640123,0.032725303139649824,0.8293823060951624,0.27412387421677953,0.8324553907795312,0.39840352121796196,0.4732123442416388,6.716026333425434,13622.704749930006,0.008,0.015851246454633115,0.35768847450627705,0.0,0.0016,0.0,0.5330244688156986,0.0,3.1156973405317828e-15,1.8520619381557813e-15,0.013541641047324632,0.023106362242369272,1.0
concentrated_wealth,20261235,0.0006278218374325408,0.0174424224055774,-0.03969774871487091,0.09641779166882744,0.032710377937414284,0.2593477543058105,0.23562014767265824,0.12723361130594704,0.04953332495626636,4.954511762095203,0.4375080188425115,0.943494395044693,0.5063477239877049,0.3587707466350371,6.769882782719986,13707.347179862842,0.0124,0.054085030411342834,0.4627405370011459,0.0,0.0072,0.0,0.5264305478290761,0.0,1.2191859158602628e-15,2.248932353474877e-15,-0.2903679050409894,0.021352529459230957,1.0
concentrated_wealth,20261236,0.0007779247548958711,0.01158688894625362,-0.015519629764588105,0.0455953542629762,0.017157857756523197,0.016991053780813302,-0.004845587389730476,-0.005967682566672422,-0.004947534039638138,-0.06281289330151818,0.04260861289892037,0.9448451293016216,0.7706510206584983,0.04048691004975196,6.5950330240538655,13405.358884642244,0.0032,0.1403218998665952,0.17507606657099717,0.0,0.0,0.0,0.5416343000967714,0.0,2.7093020352450286e-15,6.482216783545234e-15,-0.027421572147502547,-0.022012714533308907,1.0
concentrated_wealth,20261237,0.00021059262040768836,0.01300160188660148,-0.00441913428264974,0.05983003220755446,0.018230340897830932,0.05979752054070633,0.03536258772192921,0.039799092110491235,0.017210028074915673,0.2779168837265549,0.18421896515674263,0.8592599179627755,0.42754342176412957,0.3397007583035072,6.620263651169198,13575.630577053184,0.0048,0.021481199978504856,0.482763630873454,0.0,0.0,0.0,0.5448995085913579,0.0,2.7093020352450286e-15,3.7041238763115625e-15,-0.05261768639994412,0.0090118355899518,1.0
concentrated_wealth,20261238,0.00033243212192403854,0.011995093339172022,-0.0442116085900447,0.045750231559255915,0.023619461571025114,0.015178743479563677,0.04207241668887107,0.024007592992950074,-0.011126373888965906,0.010472132750804164,0.13360308679860444,0.9186674366946831,0.476275700223263,0.167984465649843,6.556050678915298,13542.14915885331,0.0036,0.08983358989368365,0.3525334573314094,0.0,0.0,0.0,0.5317304934479223,0.0,3.657557747580788e-15,3.439543599432165e-15,0.07747576615814722,0.020556281421279254,1.0
concentrated_wealth,20261239,0.0005136727726941931,0.014180725045145467,-0.025828589228830766,0.048523272679631836,0.020008481310293733,0.10002664195745406,0.08174409373900321,0.038968942695003936,0.039047854406420536,0.649774909799631,0.24126426010870033,0.901859346423649,0.49721989269580524,0.347625366931274,6.657700076525806,13643.483463501661,0.0064,0.02541790551218921,0.32481632280654327,0.0,0.0016,0.0,0.512967319606241,0.0,2.4383718317205256e-15,1.3229013843969864e-15,-0.08586444620574347,0.02953216861942257,1.0
concentrated_wealth,20261240,0.00016605429244540666,0.01182826651184893,-0.04147177964080346,0.04147177964080346,0.021175548855242962,0.0382286976417285,0.041089426762763503,0.0013132034405753258,0.023375862694796568,0.029441675389642263,0.11347201333371643,0.8468102966624086,0.4251083281083582,0.21883705479627952,6.572660374626711,13503.893455603633,0.0036,0.03220347503171742,0.3626318601807408,0.0,0.0,0.0,0.5028397025990725,0.0,2.1674416281960227e-15,3.3072534609924663e-15,0.05164652556753316,0.013214753665246716,1.0
concentrated_wealth,20261241,0.00039603918289882217,0.01687497935854812,-0.01858846720436298,0.09177596218828332,0.03907220062484807,0.1562265914472162,0.1508182998596265,0.04650231279496922,-0.01059011671543497,0.9791204007408205,0.31546985821513485,0.8910531994184836,0.3941920563442802,0.49844601758674645,6.835953521124481,13677.971523212209,0.0088,0.03432852308350397,0.30923616937233445,0.0,0.0036,0.0,0.5215873621771081,0.0,4.7412785616788e-15,4.630154845389453e-15,0.1247392694394916,0.001640161448697552,1.0
concentrated_wealth,20261242,0.0004708821310289345,0.013850831258455749,-0.021823254579794494,0.07830178624213058,0.029076650837706875,0.0943617450048056,0.09960983486453093,0.08674452032415288,0.053523307661705516,0.9029557679098703,0.2959336170079373,0.9404026335600424,0.4284967141210767,0.31786164188155197,6.608299204960986,13660.574195217849,0.0068,0.036386038255341265,0.3051854051411632,0.0,0.0008,0.0,0.5328814925809968,0.0,3.1156973405317828e-15,4.233284430070357e-15,0.06852207686363886,-0.003406791105232416,1.0
concentrated_wealth,20261243,0.0005363390663505175,0.01438619083488689,0.006242746956366948,0.10523635931928449,0.03208528441464096,0.08437684207354239,0.1095979390968679,0.039939454363418295,0.048823823414338025,1.5327496731352364,0.24911658867366618,0.8895923060497588,0.4341392944231929,0.40900866752083137,6.555573708734509,13881.682601817125,0.0056,0.02223520330849119,0.2775347566609694,0.0,0.0012,0.0,0.5277471584974887,0.0,3.657557747580788e-15,1.8520619381557813e-15,0.17036758625385479,-0.024994923417861876,1.0
concentrated_wealth,20261244,0.000462471642635985,0.013374197715516718,-0.012750186624491275,0.053501721668341023,0.016608119670543077,0.07321467232199085,0.03791622927350504,0.022652445759318372,0.02243628564276971,0.490101983689748,0.20458134031610567,0.9093889830676888,0.4319547358141356,0.28955945465387906,6.633700866030082,13532.081127100435,0.0052,0.08086882097760463,0.36224364665357833,0.0,0.0008,0.0,0.5237052960615596,0.0,1.4901161193847656e-15,2.5135126303542743e-15,-0.06076459436144796,0.013393493790327358,1.0
concentrated_wealth,20261245,0.0006320278214198779,0.013435071020268098,-0.033863724735322065,0.07108672139695986,0.02591158280664423,0.17546443896906547,0.14165417031111602,0.0901301863213383,0.03125400817171019,1.19627554516586,0.3173326437608768,0.948935317099469,0.6344163304099195,0.22900036677899568,6.619300315652518,13615.823761800366,0.0072,0.06991943461687541,0.36464218102452306,0.0,0.0024,0.0,0.5215968515846929,0.0,2.302906729958274e-15,4.365574568510055e-15,-0.1421982158501211,0.056830313178520726,1.0
concentrated_wealth,20261246,0.0005965756816786449,0.012745134528964842,-0.013612924135225782,0.06035243327792716,0.015201759887109829,0.038430004244444364,0.057634088042749144,0.028570051721561626,0.009289293136769095,0.3501919469451096,0.2110848591239451,0.9478818999141052,0.5192111635113045,0.21735504571225778,6.552880555594654,13614.3453201281,0.0052,0.04715321311032937,0.33775459895608095,0.0,0.0,0.0,0.5569559242696049,0.0,2.4383718317205256e-15,2.1166422150351785e-15,-0.049153729354346226,0.002072199483166872,1.0
