scenario,seed,mean_return,daily_volatility,return_acf_1,absolute_return_acf_1,excess_kurtosis,volume_absolute_return_correlation,mean_absolute_log_price_gap,maximum_drawdown,bubble_day_fraction,crash_day_fraction,strategy_turnover,final_wealth_gini,price_cap_hits,maximum_cash_relative_error,maximum_share_relative_error
full,20260926,0.0011526683631850397,0.011815095585540784,0.14363491810622314,0.035448143892324126,-0.023109565150900124,0.4636349663765469,0.011148024840737557,0.0984029633347957,0.0,0.0,63.0,0.016086257274037452,0.0,1.2191859158602628e-15,3.9687041531909596e-16
full,20260927,-0.00041105141763749485,0.017886161072182223,-0.18484039010463982,0.25783882880471826,1.277355875339219,0.5981008197070482,0.011670462001507181,0.25811915591178536,0.0,0.008,12.0,0.012563914578385793,0.0,5.418604070490057e-16,9.260309690778906e-16
full,20260928,0.0009968767691988809,0.012759750022636697,0.07015235811966623,-0.017587896288740357,0.07660346318110811,0.5006420957839147,0.010701248610594332,0.1553764621574203,0.0,0.0,80.0,0.010482579358596533,0.0,9.482557123357599e-16,6.614506921984932e-16
full,20260929,0.0007220382316366738,0.014476493023688265,0.03830264727449509,0.024954911338872763,0.045528937696020844,0.39923355190170917,0.011989669862065679,0.222227096853983,0.0,0.0,81.0,0.010306190045683561,0.0,9.482557123357599e-16,6.614506921984932e-16
full,20260930,0.0007669077237081758,0.013706647568617154,0.053990155802354736,0.0340263183769946,0.5372095024769741,0.3469958332885399,0.012861304988680535,0.1628046301291276,0.0,0.0,72.0,0.010100299767251464,0.0,8.127906105735085e-16,7.937408306381919e-16
full,20260931,0.00019745328938895667,0.013508738489148174,0.18290967436779262,0.15057770727870018,0.036511885801461474,0.4634762660699863,0.011099076610201677,0.17842370607240132,0.0,0.0,44.0,0.008515885220289121,0.0,6.773255088112571e-16,1.1906112459572878e-15
full,20260932,0.0015220611787587898,0.009991277522979828,0.15853705167091908,0.04915738035967492,0.11093927845939211,0.33460691622937816,0.011782303922183133,0.1550185430653337,0.0,0.0,90.0,0.02187730074089922,0.0,1.3546510176225143e-15,1.5874816612763839e-15
value_only,20260901,0.0006062156671439176,0.10657874247186394,-0.9754104941003595,0.8483252439576336,-1.5541579401638268,0.9861747345411316,0.048720769448973786,0.3185571445751145,0.0,0.42,0.0,0.0312200958901816,39.0,9.482557123357599e-16,7.937408306381919e-16
value_only,20260902,6.929214916452864e-05,0.10818173954866629,-0.9739158340227799,0.8652292522468086,-1.498507937405791,0.9730146146324223,0.04834280545873221,0.21319837362276484,0.0,0.4,0.0,0.032835717038515844,52.0,8.127906105735085e-16,5.291605537587946e-16
value_only,20260903,0.0006192227872290985,0.11250384598818244,-0.9787524005674995,0.8896962900985704,-1.53172645528987,0.9696729628166275,0.04953841732051561,0.20718116954579124,0.0,0.396,0.0,0.03091337196327637,63.0,9.482557123357599e-16,1.0583211075175892e-15
value_only,20260904,-0.000523910668152773,0.12656317836131717,-0.9837874551286361,0.7406790444598214,-1.8375559257048555,0.9400343913873143,0.060657262212130254,0.3700984104128544,0.0,0.488,0.0,0.04813271504679406,81.0,5.418604070490057e-16,1.7197717997160825e-15
value_only,20260905,-0.00024426285745449405,0.11734846731897994,-0.9772272723629659,0.7760502681672685,-1.7472120701646594,0.966105284313226,0.054797464345580506,0.31059552555931136,0.0,0.46,0.0,0.0413602751212534,38.0,9.482557123357599e-16,9.260309690778906e-16
value_only,20260906,0.0011452779690747086,0.11081988098010645,-0.983778083293378,0.9105958332474859,-1.5183046871461057,0.9681529166277438,0.050002720026274386,0.245777999961862,0.0,0.4,0.0,0.025348237933629836,64.0,5.418604070490057e-16,7.937408306381919e-16
value_only,20260907,-0.00017648328443397432,0.11757418954662545,-0.9792457082215863,0.8095910747112851,-1.7048069485849457,0.9679047815126017,0.05522899589437904,0.275961206682078,0.0,0.46,0.0,0.04055931539178981,62.0,5.418604070490057e-16,3.9687041531909596e-16
value_only,20260908,-0.0018402120518437287,0.1412920644550169,-0.9896157957774573,0.7407087307806139,-1.930576946241472,0.8425278097201807,0.0689818329264138,0.4010249134253687,0.0,0.48,0.0,0.060336734310767026,163.0,1.0837208140980114e-15,1.3229013843969864e-15
value_only,20260909,-0.0003118255305699869,0.11208885794559,-0.9781506897694663,0.8646817606776236,-1.6107518623471573,0.9818119157447025,0.051501975052905345,0.22161053261387842,0.0,0.428,0.0,0.03898003466111266,54.0,6.773255088112571e-16,7.937408306381919e-16
value_only,20260910,0.0009623854274195515,0.10179139465191658,-0.9755673275344593,0.8917147738753669,-1.3834996911649817,0.990472426362752,0.04437757150088108,0.21498387247473072,0.0,0.376,0.0,0.027801571021729643,38.0,6.773255088112571e-16,7.937408306381919e-16
value_only,20260911,0.00047224774206669197,0.10048683987177577,-0.9714719924121094,0.8841165300872362,-1.3888832336792791,0.9941960590393695,0.04342587774691343,0.2682610739690685,0.0,0.368,0.0,0.02904571011592716,33.0,2.7093020352450284e-16,7.937408306381919e-16
value_only,20260912,0.0008214431814551233,0.10578891481767234,-0.9745606058190798,0.8856334576269715,-1.4220040957380438,0.9897674446713002,0.04667634085036742,0.2362811249698824,0.0,0.384,0.0,0.028111744151066542,47.0,6.773255088112571e-16,7.937408306381919e-16
value_only,20260913,0.0002494646960630753,0.10080104195696357,-0.9794822807961442,0.9139249039263765,-1.3544168544027655,0.988114347742803,0.043821737600661756,0.22742766894598376,0.0,0.38,0.0,0.029004217531752197,35.0,9.482557123357599e-16,5.291605537587946e-16
value_only,20260914,0.000499562779284961,0.10091628301917625,-0.9737032820721283,0.8947894457507537,-1.372658940920479,0.9868764707147561,0.043654157903957276,0.18113993054544042,0.0,0.38,0.0,0.03013029690118163,35.0,5.418604070490057e-16,7.937408306381919e-16
value_only,20260915,-0.0002838386522945342,0.12756407148176485,-0.9827901463193514,0.8316247214004835,-1.7769725972024972,0.8960712888049769,0.05998897200140195,0.32875669832772936,0.00796812749003984,0.452,0.0,0.041857322231786176,119.0,4.0639530528675426e-16,7.937408306381919e-16
value_only,20260916,0.0007219764667092754,0.11764111822832839,-0.98318042816747,0.9054442384580859,-1.6423986568999434,0.9670323115235537,0.05287042360653147,0.2271875617954141,0.0,0.412,0.0,0.032541260942027916,64.0,6.773255088112571e-16,5.291605537587946e-16
value_only,20260917,-5.166796910956961e-05,0.12263022878155233,-0.9791772464475792,0.8131861444509191,-1.7375718746934798,0.9593215908282269,0.057878732582738936,0.3514951054766955,0.0,0.452,0.0,0.03931916179772044,88.0,8.127906105735085e-16,6.614506921984932e-16
value_only,20260918,0.0014147056652060997,0.08943528568695647,-0.9663942467736352,0.9191704542326237,-0.9266870494408574,0.9925412206102815,0.03476155811395781,0.1992178485536098,0.0,0.28,0.0,0.01809978819730773,30.0,1.4901161193847656e-15,6.614506921984932e-16
value_only,20260919,-0.0005679140117816566,0.11768535827378948,-0.9794719255497194,0.7686589613573719,-1.7515332329489604,0.9533389523843908,0.055866708571796174,0.2950596600703338,0.0,0.48,0.0,0.044163931412993795,59.0,8.127906105735085e-16,5.291605537587946e-16
value_only,20260920,-0.00022351531453477236,0.12117284530005595,-0.9865682932126212,0.8363907810055714,-1.784163181473728,0.9563296821007421,0.05837822666126433,0.20270225468224112,0.0,0.48,0.0,0.04179632032773828,64.0,6.773255088112571e-16,7.937408306381919e-16
value_only,20260921,0.0012330516999282857,0.0960881455292907,-0.9711772521313541,0.9110166678432656,-1.145118308124901,0.9779481824730543,0.03992893954949351,0.1633648744723305,0.0,0.332,0.0,0.02241050864266203,45.0,4.0639530528675426e-16,1.7197717997160825e-15
value_only,20260922,0.0013789519222604945,0.11087416008323574,-0.9797340434767572,0.9150494830344895,-1.4303343041759442,0.9802066986588343,0.047193321408500216,0.2538991924610273,0.0,0.34,0.0,0.02395489580213206,76.0,5.418604070490057e-16,3.9687041531909596e-16
value_only,20260923,0.0007252762331535969,0.10035396429905119,-0.9758075570890724,0.9176080436016726,-1.2673388636755438,0.9773730091345625,0.04306235818806701,0.16480552511702606,0.0,0.336,0.0,0.026318813791576634,43.0,6.773255088112571e-16,5.291605537587946e-16
value_only,20260924,0.0015589793372357227,0.09739899371923957,-0.9740055701012629,0.9110910675988666,-1.2300783835909201,0.9745595706838548,0.04143364583235121,0.18435805144930661,0.0,0.336,0.0,0.02005781794434447,44.0,4.0639530528675426e-16,2.645802768793973e-16
value_only,20260925,0.0014568010548181326,0.09102543122645314,-0.9634266706986331,0.8748143644640471,-1.189886570128605,0.9883840532590457,0.0384857040545839,0.20719529866269326,0.0,0.34,0.0,0.02078625350605967,22.0,8.127906105735085e-16,5.291605537587946e-16
value_only,20260926,0.0010391752199337993,0.10657022877841399,-0.9806087976706895,0.9223672036935167,-1.4120765737660763,0.9793734643168474,0.046817198918635027,0.1777046982163455,0.0,0.372,0.0,0.027261087538762885,49.0,1.0837208140980114e-15,3.9687041531909596e-16
value_only,20260927,-0.0004980290356477717,0.12454136642169682,-0.9826750605803263,0.6914457836672446,-1.8436620643362958,0.9393863739163717,0.060384191752928654,0.306774327703385,0.0,0.492,0.0,0.04637631305701606,49.0,4.0639530528675426e-16,5.291605537587946e-16
value_only,20260928,0.0009293860330031763,0.10302991118572725,-0.9755012435617207,0.8720793715389784,-1.4354559817706392,0.981518940547052,0.04596004560701694,0.24189003942612308,0.0,0.384,0.0,0.02801196650651705,36.0,5.418604070490057e-16,5.291605537587946e-16
value_only,20260929,0.00080045733249246,0.10673079322542536,-0.9790005635134371,0.9075755833709332,-1.4567995739983535,0.9828441993831871,0.0468367770727224,0.2834394715208225,0.0,0.376,0.0,0.028445277477867847,48.0,1.0837208140980114e-15,7.937408306381919e-16
value_only,20260930,0.0009570932549562449,0.10296481030054298,-0.9703457417246764,0.8586374781702045,-1.442191906735159,0.9693771198681327,0.04559771768035449,0.22501495267564176,0.00398406374501992,0.384,0.0,0.02663685579125774,41.0,1.625581221147017e-15,7.937408306381919e-16
value_only,20260931,0.000401248676216337,0.10589899430760726,-0.971970414195846,0.8609672296975245,-1.498219160979173,0.9720597681599455,0.047510036319002524,0.23122210690166511,0.0,0.412,0.0,0.03057137684367106,49.0,6.773255088112571e-16,7.937408306381919e-16
value_only,20260932,0.0014223719627789748,0.08181735754249113,-0.9584126394853225,0.8574716143876111,-0.946090331794097,0.9891835542909115,0.03421872499474846,0.20651647901338022,0.0,0.324,0.0,0.019022533321287005,18.0,5.418604070490057e-16,5.291605537587946e-16
trend_only,20260901,0.000187220085497092,0.0006009940373003106,-0.012733017087447767,0.027040945171196144,-0.00979328201009233,0.9436780796048904,0.061098359682929135,0.004402513662387086,0.0,0.0,0.0,7.109016634454512e-05,0.0,2.7093020352450284e-16,1.0583211075175892e-15
