scenario,seed,mean_return,daily_volatility,return_acf_1,maximum_absolute_return_acf_1_20,mean_absolute_return_acf_1_20,absolute_return_acf_1,absolute_return_acf_5,absolute_return_acf_20,absolute_return_acf_50,excess_kurtosis,volume_absolute_return_correlation,volume_acf_1,order_flow_imbalance_acf_1,order_flow_imbalance_return_correlation,mean_spread_bps,mean_depth,three_sigma_tail_fraction,mean_absolute_log_price_gap,maximum_drawdown,bubble_day_fraction,crash_day_fraction,strategy_turnover,final_wealth_gini,price_cap_hits,maximum_cash_relative_error,maximum_share_relative_error
no_agent_information,20260801,0.00021128091964503514,0.011177711758174972,0.13543928377879896,0.13543928377879896,0.044958562875394806,0.04337519174080569,0.008647417240221887,-0.06766940134302842,0.010622160548405998,0.18982333699714227,0.05213200348501073,0.9629258188393761,0.9237941171197277,0.04273743406647535,6.573296071305263,13421.712839601645,0.008,0.023859957574514243,0.2838400469232595,0.0,0.0,0.0,0.04183592764337418,0.0,2.84476713700728e-15,2.778092907233672e-15
no_agent_information,20260802,0.0004662736475109153,0.010085926575878309,0.045364682659674874,0.07753108274297238,0.027552242893414486,0.03577180304939442,-0.001964881680319939,0.046558768483225745,0.03421799098150409,-0.2034662382948076,0.01770340962559009,0.9636869233186639,0.8815973769728714,0.10761198995975249,6.08280566175481,14279.109570923483,0.002,0.119209933688858,0.15514345008139563,0.0,0.0,0.0,0.017467074789025094,0.0,2.4383718317205256e-15,1.1906112459572878e-15
no_agent_information,20260803,0.000911440622193103,0.010777523718762363,0.06409897695321466,0.06457672649074837,0.02985946250458151,0.06922338345668605,0.09088176439710657,0.014108226798159772,0.03840922710523231,0.244651576296798,0.13111617184670293,0.9760064208567769,0.856518263537303,0.12515316455847064,6.385641902701048,13869.457440116077,0.004,0.12413903904623698,0.14710573857380127,0.0,0.0,0.0,0.024324379288031883,0.0,1.2191859158602628e-15,1.3229013843969864e-15
no_agent_information,20260804,0.000344194991603608,0.011100949016037481,0.08967197472873528,0.10006967992196891,0.03317204061733421,0.07230284968511405,0.061278313568157945,0.04153975041338891,-0.022181418648037642,0.21162090506094255,0.13595146944922076,0.9665400287351461,0.8782534636893291,0.16585440287277917,6.51762359139202,13578.737328018922,0.005,0.0813899029106944,0.27357559746543525,0.0,0.0,0.0,0.03153130001726945,0.0,1.2191859158602628e-15,1.7197717997160825e-15
no_agent_information,20260805,0.000376139015057948,0.01030881001092336,-0.010486915190168453,0.059696989454438694,0.017910991423251907,0.008942978109582084,0.001342211887627226,-0.01994078371195157,-0.014403127852234058,0.21514050474411306,0.014086977967422669,0.9727397451741808,0.8865956701090858,0.07074627867403165,6.144528842993139,14170.450048297591,0.006,0.15248977715797246,0.18878670577059242,0.0,0.0,0.0,0.012610988411875246,0.0,1.2191859158602628e-15,1.8520619381557813e-15
no_information_channels,20260801,4.2972244253431494e-05,0.004887987094883451,0.4597375658338166,0.4597375658338166,0.11126215627843053,0.20507701228245415,0.04011818026529529,0.013564828932008003,-3.0371337751463612e-05,0.5267373180200905,0.017706425566511856,0.9363231459234351,0.9621880793167432,0.09814182687509138,5.177262405112328,16000.0,0.006,0.1602102917566819,0.09293189954383396,0.0,0.0,0.0,0.060758040336965635,0.0,1.625581221147017e-15,2.5135126303542743e-15
no_information_channels,20260802,-4.588522162647468e-05,0.004557725043601477,0.4680956894265284,0.4680956894265284,0.09350698991536843,0.21853694518642103,-0.0185752725883014,0.06903215161805587,-0.021909327513907482,0.5772398077730188,0.035632530978545525,0.9300881735782647,0.9611401336636717,0.09463390367846503,5.166320001202779,16000.0,0.009,0.6606913048703404,0.09912817627616977,0.0,0.0,0.0,0.05437989701491874,0.0,1.7610463229092685e-15,1.5874816612763839e-15
no_information_channels,20260803,-2.8409267330645527e-05,0.00477500438138592,0.4311226919394047,0.4311226919394047,0.08712312605256561,0.24251317816063422,-0.006139596560624131,0.046034228565736114,-0.04224265526984757,0.3093578294309931,0.05602586869182005,0.9269504312562659,0.9598912228275316,0.10806009437766116,5.176854996608262,16000.0,0.004,0.5333067545743705,0.09452144294556886,0.002,0.0,0.0,0.05288312109857185,0.0,1.8965114246715198e-15,1.5874816612763839e-15
no_information_channels,20260804,-5.604938106880919e-05,0.005118442978411094,0.4059896661586169,0.4059896661586169,0.088718264336092,0.2141751130193985,-0.004170348807506335,-0.02810272779742812,-0.054546479918706925,0.6885775391638314,0.02116439902350439,0.93295430356152,0.9567454544802005,0.10418699283914207,5.1887715751214065,16000.0,0.008,0.324032766761365,0.15293720816891798,0.0,0.0,0.0,0.056485688338294704,0.0,1.2191859158602628e-15,2.778092907233672e-15
no_information_channels,20260805,-4.165287958148678e-05,0.005110793323638004,0.43332229544704715,0.43332229544704715,0.08517214735941891,0.20169034071526118,-0.00595643729739867,-0.011670179066385315,-0.006715075297937262,0.5664114488917393,0.064136095314709,0.9359698224064612,0.9550202442733322,0.11116311261601364,5.186970390870603,16000.0,0.005,0.8330377058628003,0.11796863501903776,0.0,0.0,0.0,0.056720906178904906,0.0,1.2191859158602628e-15,1.3229013843969864e-15
